month,state,handgun,rifle,total,state,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2020-10,Alabama,24084,17964,42048,Alabama,256148,266845,253482,276780,361311,398582,349170,419809,275086,183961,166117,280925,458372
2020-10,Alaska,3209,3210,6419,Alaska,56077,54451,58897,62898,76356,80679,75319,73458,74378,67204,64410,63033,69269
2020-10,Arizona,24964,12288,37252,Arizona,152276,153535,158229,189530,246129,249053,214461,241555,275772,252770,239877,248046,410886
2020-10,Arkansas,8931,9386,18317,Arkansas,129117,131733,122198,133465,164020,169721,143190,160491,162364,148865,139296,137322,186665
2020-10,California,65376,40286,105662,California,445137,496998,520617,624157,798776,933546,864971,820949,1114905,830598,745858,731400,946346
2020-10,Colorado,25802,17699,43501,Colorado,250347,259318,259797,295141,355958,401193,338560,379919,422528,396702,377477,358572,439372
2020-10,Connecticut,6821,2764,9585,Connecticut,74287,87314,88091,91228,117562,126375,138107,171857,166188,97719,85203,81218,84797
2020-10,Delaware,3951,2489,6440,Delaware,17663,19958,18696,21798,29557,36223,38581,43288,47320,40723,37295,37177,53849
2020-10,District of Columbia,470,11,481,District of Columbia,257,358,319,289,445,490,505,706,723,801,1013,1336,2695
2020-10,Florida,83816,32346,116162,Florida,476151,518990,519046,592308,769978,829876,744369,849788,978540,917556,832015,834484,1169230
2020-10,Georgia,26383,14710,41093,Georgia,215243,206655,194686,228891,287669,295791,270138,315965,323077,286329,263227,264800,431933
2020-10,Guam,221,88,309,Guam,439,489,508,473,859,1177,1723,1855,1909,1607,1655,2160,2533
2020-10,Hawaii,0,0,0,Hawaii,0,0,0,0,4,0,0,0,0,0,0,0,0
2020-10,Idaho,7439,8153,15592,Idaho,70151,67078,65155,75924,92490,94535,82610,92474,102114,99957,100739,105469,147169
2020-10,Illinois,28277,14905,43182,Illinois,183379,218448,225950,268113,356315,421055,390293,399856,529666,424817,393541,367973,439381
2020-10,Indiana,27979,18181,46160,Indiana,210432,228933,227065,266262,363286,399454,364419,409547,455400,405845,371486,368213,470042
2020-10,Iowa,218,4151,4369,Iowa,43121,41961,40988,42833,47195,43503,37444,36870,38044,34704,32345,30850,36578
2020-10,Kansas,8659,7551,16210,Kansas,114876,129467,125370,135120,172726,173632,131889,146574,154864,140809,127668,125311,164024
2020-10,Kentucky,15816,12804,28620,Kentucky,195659,198412,184221,204454,247558,249924,212159,238342,249751,226463,205480,217306,307398
2020-10,Louisiana,15180,13153,28333,Louisiana,223946,220003,209016,231644,287578,312569,274280,304507,310710,257467,230066,219508,285115
2020-10,Maine,5087,8215,13302,Maine,52935,56989,61348,67878,85236,89696,75621,83802,95625,80205,76824,75362,98529
2020-10,Mariana Islands,15,12,27,Mariana Islands,0,0,0,1,5,13,11,14,16,143,163,168,166
2020-10,Maryland,10843,9873,20716,Maryland,84467,93144,85465,99529,132846,219499,119079,102190,124197,117896,113871,101956,158481
2020-10,Massachusetts,8354,4364,12718,Massachusetts,43591,52280,55371,67308,90169,101277,93058,99986,117908,101414,85887,80022,96655
2020-10,Michigan,34940,28266,63206,Michigan,167611,160876,147531,149636,180551,292002,235780,268608,293967,266475,239601,241838,541093
2020-10,Minnesota,16941,20404,37345,Minnesota,175612,179518,176097,199442,250741,276047,225926,247031,277505,219895,166815,231168,287472
2020-10,Mississippi,10982,10229,21211,Mississippi,145194,132471,131723,143524,177319,184024,166365,200155,211872,187511,174943,175177,237668
2020-10,Missouri,25340,22636,47976,Missouri,286679,310934,291880,327934,423096,453371,405487,440695,477462,449642,409610,395991,472530
2020-10,Montana,4429,7087,11516,Montana,73794,74530,73246,79793,98691,99017,87930,93527,94381,86207,81645,81325,103972
2020-10,Nebraska,234,2960,3194,Nebraska,30172,28450,29038,32031,35964,33130,27688,28807,28211,26142,23865,22436,25103
2020-10,Nevada,8764,3693,12457,Nevada,78294,87247,83428,95388,113573,107989,84236,91294,104263,90427,85898,89106,138502
2020-10,New Hampshire,7906,5243,13149,New Hampshire,49912,57225,56748,64412,94583,102973,86452,93246,113210,99242,97436,91954,124150
2020-10,New Jersey,13275,7171,20446,New Jersey,39761,54493,49625,59168,83659,117073,90574,88382,119348,101421,90562,87324,127928
2020-10,New Mexico,7814,5189,13003,New Mexico,87234,85555,84911,91895,115710,125243,111230,117901,125098,124263,121480,122824,141668
2020-10,New York,10541,28281,38822,New York,185119,203210,207387,229321,297358,310532,277303,291748,330955,305945,273466,260294,317734
2020-10,North Carolina,2421,21403,23824,North Carolina,151031,141725,131906,152365,199967,209698,177183,182234,193514,176728,163581,163786,227594
2020-10,North Dakota,2326,4589,6915,North Dakota,40687,38869,40146,51979,67464,68456,57814,57590,53988,50384,49415,50649,59381
2020-10,Ohio,35332,23048,58380,Ohio,324001,362627,358830,429639,577994,624994,538996,591167,638533,546639,473854,439443,592281
2020-10,Oklahoma,14860,11904,26764,Oklahoma,183442,191700,186307,219357,305223,317397,282979,293148,296695,266565,249012,249921,293957
2020-10,Oregon,22277,14255,36532,Oregon,175152,179183,178339,202098,266522,273741,242492,275572,321745,300506,294935,287572,358591
2020-10,Pennsylvania,73607,29581,103188,Pennsylvania,594355,637975,622374,714647,874079,765995,659454,719396,800373,734792,704522,702277,878603
2020-10,Puerto Rico,3714,252,3966,Puerto Rico,6329,7756,7858,11227,15163,16477,15394,15257,15195,17737,27354,26759,20758
2020-10,Rhode Island,2143,1359,3502,Rhode Island,11184,13412,13703,15930,22112,23928,18464,19676,24466,21113,20729,19583,31541
2020-10,South Carolina,17032,10168,27200,South Carolina,136211,142256,131642,151438,199264,200765,174209,206976,219886,203410,185399,193090,283467
2020-10,South Dakota,3537,6336,9873,South Dakota,58150,59065,58027,63788,81749,85043,76072,82640,86042,75640,69556,69470,76423
2020-10,Tennessee,33275,22568,55843,Tennessee,276450,302010,301628,346969,439164,466201,419563,499153,529330,491487,469499,470233,577831
2020-10,Texas,72591,44620,117211,Texas,731691,742240,705755,837429,1083524,1166589,1017437,1103981,1119085,1020559,926533,936667,1297120
2020-10,Utah,7356,6378,13734,Utah,87824,80154,69937,78807,96717,100345,81092,90904,101534,94655,89347,85036,134874
2020-10,Vermont,2139,2723,4862,Vermont,21601,22492,23726,26657,33481,34815,30260,33047,37173,35424,38277,33131,44409
2020-10,Virgin Islands,37,4,41,Virgin Islands,363,267,234,312,382,266,213,249,323,344,486,405,289
2020-10,Virginia,37867,22986,60853,Virginia,274801,292047,315204,324960,438957,487479,409063,446150,505938,490203,422603,454943,613545
2020-10,Washington,26765,17191,43956,Washington,210491,223084,221184,253920,338520,358530,297488,313216,365135,336719,351171,334823,416787
2020-10,West Virginia,6934,8559,15493,West Virginia,115719,121320,121457,142399,177342,198201,166565,174510,173229,156468,151849,140770,160041
2020-10,Wisconsin,26028,19720,45748,Wisconsin,184287,193095,189720,232722,323999,331650,270124,304549,346084,327605,301093,307846,412313
2020-10,Wyoming,2616,3207,5823,Wyoming,40316,39100,36079,42144,52292,56466,48824,48638,48384,43033,46595,48013,59334
2020-09,Alabama,23455,17369,40824,,,,,,,,,,,,,,
2020-09,Alaska,3275,3333,6608,,,,,,,,,,,,,,
2020-09,Arizona,23996,12094,36090,,,,,,,,,,,,,,
2020-09,Arkansas,9214,8003,17217,,,,,,,,,,,,,,
2020-09,California,61258,36638,97896,,,,,,,,,,,,,,
2020-09,Colorado,24260,15873,40133,,,,,,,,,,,,,,
2020-09,Connecticut,6101,2284,8385,,,,,,,,,,,,,,
2020-09,Delaware,3501,1909,5410,,,,,,,,,,,,,,
2020-09,District of Columbia,531,11,542,,,,,,,,,,,,,,
2020-09,Florida,76685,29317,106002,,,,,,,,,,,,,,
2020-09,Georgia,24175,12797,36972,,,,,,,,,,,,,,
2020-09,Guam,150,54,204,,,,,,,,,,,,,,
2020-09,Hawaii,0,0,0,,,,,,,,,,,,,,
2020-09,Idaho,7297,7426,14723,,,,,,,,,,,,,,
2020-09,Illinois,27645,13848,41493,,,,,,,,,,,,,,
2020-09,Indiana,26530,15978,42508,,,,,,,,,,,,,,
2020-09,Iowa,227,3541,3768,,,,,,,,,,,,,,
2020-09,Kansas,7897,6489,14386,,,,,,,,,,,,,,
2020-09,Kentucky,16006,10674,26680,,,,,,,,,,,,,,
2020-09,Louisiana,15581,12661,28242,,,,,,,,,,,,,,
2020-09,Maine,4758,6249,11007,,,,,,,,,,,,,,
2020-09,Mariana Islands,14,11,25,,,,,,,,,,,,,,
2020-09,Maryland,9575,8547,18122,,,,,,,,,,,,,,
2020-09,Massachusetts,6889,3754,10643,,,,,,,,,,,,,,
2020-09,Michigan,32590,25496,58086,,,,,,,,,,,,,,
2020-09,Minnesota,16169,19127,35296,,,,,,,,,,,,,,
2020-09,Mississippi,10668,8825,19493,,,,,,,,,,,,,,
2020-09,Missouri,24614,17708,42322,,,,,,,,,,,,,,
2020-09,Montana,4903,6148,11051,,,,,,,,,,,,,,
2020-09,Nebraska,127,2362,2489,,,,,,,,,,,,,,
2020-09,Nevada,8773,3700,12473,,,,,,,,,,,,,,
2020-09,New Hampshire,6974,4420,11394,,,,,,,,,,,,,,
2020-09,New Jersey,12591,7274,19865,,,,,,,,,,,,,,
2020-09,New Mexico,7960,5067,13027,,,,,,,,,,,,,,
2020-09,New York,9928,25663,35591,,,,,,,,,,,,,,
2020-09,North Carolina,2274,19325,21599,,,,,,,,,,,,,,
2020-09,North Dakota,2339,3879,6218,,,,,,,,,,,,,,
2020-09,Ohio,32432,19759,52191,,,,,,,,,,,,,,
2020-09,Oklahoma,14820,11176,25996,,,,,,,,,,,,,,
2020-09,Oregon,20804,13091,33895,,,,,,,,,,,,,,
2020-09,Pennsylvania,68109,25277,93386,,,,,,,,,,,,,,
2020-09,Puerto Rico,2560,261,2821,,,,,,,,,,,,,,
2020-09,Rhode Island,2001,1165,3166,,,,,,,,,,,,,,
2020-09,South Carolina,14993,9264,24257,,,,,,,,,,,,,,
2020-09,South Dakota,3588,4621,8209,,,,,,,,,,,,,,
2020-09,Tennessee,31341,19732,51073,,,,,,,,,,,,,,
2020-09,Texas,68804,46463,115267,,,,,,,,,,,,,,
2020-09,Utah,6762,5896,12658,,,,,,,,,,,,,,
2020-09,Vermont,1973,2380,4353,,,,,,,,,,,,,,
2020-09,Virgin Islands,34,1,35,,,,,,,,,,,,,,
2020-09,Virginia,31327,19565,50892,,,,,,,,,,,,,,
2020-09,Washington,26363,15035,41398,,,,,,,,,,,,,,
2020-09,West Virginia,6635,7065,13700,,,,,,,,,,,,,,
2020-09,Wisconsin,25970,17806,43776,,,,,,,,,,,,,,
2020-09,Wyoming,2722,3247,5969,,,,,,,,,,,,,,
2020-08,Alabama,26449,16913,43362,,,,,,,,,,,,,,
2020-08,Alaska,4088,4113,8201,,,,,,,,,,,,,,
2020-08,Arizona,25375,12472,37847,,,,,,,,,,,,,,
2020-08,Arkansas,9821,7421,17242,,,,,,,,,,,,,,
2020-08,California,65196,38505,103701,,,,,,,,,,,,,,
2020-08,Colorado,25765,16476,42241,,,,,,,,,,,,,,
2020-08,Connecticut,5952,2014,7966,,,,,,,,,,,,,,
2020-08,Delaware,3402,1919,5321,,,,,,,,,,,,,,
2020-08,District of Columbia,550,5,555,,,,,,,,,,,,,,
2020-08,Florida,85345,30914,116259,,,,,,,,,,,,,,
2020-08,Georgia,26176,12198,38374,,,,,,,,,,,,,,
2020-08,Guam,151,39,190,,,,,,,,,,,,,,
2020-08,Hawaii,0,0,0,,,,,,,,,,,,,,
2020-08,Idaho,7860,6811,14671,,,,,,,,,,,,,,
2020-08,Illinois,28864,13330,42194,,,,,,,,,,,,,,
2020-08,Indiana,28843,16235,45078,,,,,,,,,,,,,,
2020-08,Iowa,242,3223,3465,,,,,,,,,,,,,,
2020-08,Kansas,8851,6423,15274,,,,,,,,,,,,,,
